,name,artist(s),album,added by,added at
76,Here Comes The Sun - Remastered 2009,The Beatles,Abbey Road (Remastered),vaishnavpuri,2017-01-26T21:00:02Z
77,Put Your Records On,Corinne Bailey Rae,Corinne Bailey Rae,vaishnavpuri,2017-01-26T21:01:33Z
78,Gooey,Glass Animals,ZABA,vaishnavpuri,2017-02-07T03:31:37Z
79,Life Itself,Glass Animals,How To Be A Human Being,vaishnavpuri,2017-02-07T03:38:53Z
80,The Other Side Of Paradise,Glass Animals,How To Be A Human Being,vaishnavpuri,2017-02-07T03:43:42Z
81,Special Affair,The Internet,Ego Death,gerardtomen,2017-02-08T06:15:41Z
82,How It Ends (feat. Dominic Lalli),"GRiZ, Dominic Lalli",Rebel Era,vaishnavpuri,2017-02-08T04:54:27Z
83,Alive,Empire of the Sun,Ice On The Dune,vaishnavpuri,2017-02-08T05:03:01Z
84,Advantage,Lance Skiiiwalker,Introverted Intuition,vaishnavpuri,2017-02-13T19:15:04Z
85,Wolves,Kanye West,The Life Of Pablo,gerardtomen,2017-02-20T20:49:05Z
86,2am,Slightly Stoopid,Chronchitis,vaishnavpuri,2017-02-27T21:48:03Z
87,Little L,Jamiroquai,A Funk Odyssey,vaishnavpuri,2017-02-27T23:31:45Z
88,Lost,Frank Ocean,channel ORANGE,vaishnavpuri,2017-03-04T06:59:18Z
89,The Great Gig in the Sky,Pink Floyd,The Dark Side of the Moon,vaishnavpuri,2017-03-04T08:54:05Z
90,Saint Pablo,Kanye West,The Life Of Pablo,vaishnavpuri,2017-03-09T09:04:48Z
91,Chanel,Frank Ocean,Chanel,22mzyvjlsi55yjh53wlsnttbi,2017-03-12T18:37:12Z
92,Mis amigos,Las Ligas Menores,Ni una canción,mochimaster555,2017-03-13T02:36:09Z
93,Cocoa Hooves,Glass Animals,Leaflings,vaishnavpuri,2017-03-14T08:05:04Z
94,Suddenly,"Drugdealer, Weyes Blood",The End Of Comedy,vaishnavpuri,2017-03-17T00:01:10Z
95,The End Of Comedy,"Drugdealer, Weyes Blood",The End Of Comedy,vaishnavpuri,2017-03-17T00:01:16Z
96,Ode to Viceroy,Mac DeMarco,2,vaishnavpuri,2017-03-17T00:29:25Z
97,Super Rich Kids,"Frank Ocean, Earl Sweatshirt",channel ORANGE,vaishnavpuri,2017-03-17T07:50:19Z
98,Solo,Frank Ocean,Blonde,vaishnavpuri,2017-03-17T08:05:45Z
99,Get It Together,"Drake, Black Coffee, Jorja Smith",More Life,vaishnavpuri,2017-03-19T20:29:34Z
100,Sacrifices,"Drake, 2 Chainz, Young Thug",More Life,vaishnavpuri,2017-03-19T21:07:12Z
101,Dark Red,Steve Lacy,Dark Red,vaishnavpuri,2017-03-21T21:41:25Z
102,The Heart Part 4,Kendrick Lamar,The Heart Part 4,vaishnavpuri,2017-03-24T06:29:49Z
103,Before,Empire of the Sun,Two Vines,mochimaster555,2017-03-26T20:48:57Z
104,Everywhere,Fleetwood Mac,Tango In The Night,vaishnavpuri,2017-03-27T05:53:42Z
105,Dreams - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),vaishnavpuri,2017-03-27T06:45:38Z
106,Gimme Shelter,The Rolling Stones,Let It Bleed,vaishnavpuri,2017-03-27T06:51:43Z
107,Rocket Man (I Think It's Going To Be A Long Long Time),Elton John,Rocket Man (EA Version),vaishnavpuri,2017-03-30T02:11:18Z
